Saat/Gün,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Toplam
16-17,GIRIS,"28,560","50,640","14,160","102,960","70,640","93,920","98,880","58,880","76,880","75,200","62,880","92,640","76,480","77,600","5,040","53,360","58,880","5,280","11,280","28,720","52,480","17,840","44,000","46,000","34,640","12,320","10,160","8,800","1,120",720,480,"1,371,440"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-18,GIRIS,"9,920","7,840","16,480","31,440","21,680","25,840","24,240","2,240","15,600","20,960","21,360","23,600","14,320","11,280",880,"3,520","4,000",960,560,"2,240","2,560",960,"1,440","1,040",640,240,80,80,0,80,80,"266,160"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-19,GIRIS,160,0,240,400,240,160,240,0,80,80,80,80,80,0,0,80,0,80,0,80,0,0,0,80,80,0,0,0,0,0,0,"2,240"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-20,GIRIS,0,80,0,80,80,0,80,0,80,80,0,0,0,80,0,0,80,0,80,0,80,80,0,0,0,80,80,0,80,80,0,"1,200"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-21,GIRIS,80,0,80,0,0,80,0,80,0,0,80,80,0,0,80,0,0,80,0,80,0,0,80,0,80,0,0,80,0,0,80,"1,040"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-22,GIRIS,0,0,0,80,80,0,80,0,80,80,0,0,80,80,0,80,80,0,80,0,80,80,0,80,0,0,80,0,80,80,0,"1,280"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-23,GIRIS,0,80,80,0,0,80,0,80,0,0,80,80,0,0,80,0,0,80,0,0,0,0,80,0,0,80,0,80,0,0,80,960
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-24,GIRIS,80,0,0,80,0,0,80,0,0,80,0,0,80,80,0,80,0,0,80,80,0,80,0,80,80,0,0,0,80,0,0,"1,040"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toplam,GIRIS,"862,800","1,220,320","1,006,240","1,424,320","1,575,840","1,616,800","1,618,080","1,354,320","1,276,000","1,524,000","1,435,360","1,574,240","1,504,960","1,511,840","216,000","1,070,480","1,527,520","892,720","1,098,560","993,520","1,488,960","1,325,200","1,002,160","1,420,960","1,346,320","1,185,120","816,720","1,359,120","1,157,583","1,133,280","1,084,560","38,623,903"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
